"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"04/28/2026","GOOGLE*COLAB SUPPORT.GOOGLCA","-10.96",,"Posted"
"04/27/2026","COSTCO WHSE #0352 CORDOVA TN","-39.65",,"Posted"
"04/27/2026","WM SUPERCENTER #950 BARTLETT TN","-27.50",,"Posted"
"04/27/2026","CORDOVA FARMERS MARKET CODOVA TN","-27.45",,"Posted"
"04/21/2026","APPLE.COM/BILL 866-712-7753 CA","-12.05",,"Posted"
"04/21/2026","WALGREENS #6958 ARLINGTON TN","-60.33",,"Posted"
"04/21/2026","TARGET 00010306 MEMPHIS TN","-43.89",,"Posted"
"04/21/2026","ULTA #316 CORDOVA TN","-57.27",,"Posted"
"04/20/2026","ONLINE PAYMENT THANK YOU","849.02",,"Posted"
"04/20/2026","APPLE.COM/BILL 866-712-7753 CA","-2.99",,"Posted"
"04/16/2026","APPLE.COM/BILL 866-712-7753 CA","-86.68",,"Posted"
"04/15/2026","WM SUPERCENTER #950 BARTLETT TN","-29.19",,"Posted"
"04/15/2026","LE DELIGHTS CORDOVA TN","-31.24",,"Posted"
"04/15/2026","CORDOVA FARMERS MARKET CODOVA TN","-9.62",,"Posted"
"04/11/2026","H&M 0621MEMPHIS MEMPHIS TN","-44.00",,"Posted"
"04/09/2026","APPLE.COM/BILL 866-712-7753 CA","-13.16",,"Posted"
"04/03/2026","KROGER #456 BARTLETT TN","-17.55",,"Posted"
"04/03/2026","LE DELIGHTS CORDOVA TN","-22.61",,"Posted"
"04/03/2026","ALDI 70064 CORDOVA TN","-37.45",,"Posted"
"04/03/2026","CORDOVA FARMERS MARKET CODOVA TN","-12.27",,"Posted"
"03/31/2026","DEEPLEARNING.AI DEEPLEARNING.NV","-30.00",,"Posted"
"03/28/2026","COSTCO GAS #0352 CORDOVA TN","-38.55",,"Posted"
"03/28/2026","COSTCO WHSE #0352 CORDOVA TN","-36.81",,"Posted"
"03/24/2026","MEMPHISSHELBYAIRPORT MEMPHIS TN","-4.00",,"Posted"
"03/16/2026","ONLINE PAYMENT THANK YOU","997.45",,"Posted"
"03/14/2026","TRU BY HILTON ATLANTA ATLANTA GA","-387.96",,"Posted"
"03/14/2026","QT 745 ATLANTA GA","-25.26",,"Posted"
"03/14/2026","BUC-EE'S #0043 LEEDS AL","-22.67",,"Posted"
"03/13/2026","STARBUCKS STORE 08243 TUCKER GA","-19.39",,"Posted"
"03/13/2026","GREAT WALL SUPERMARKET DULUTH GA","-41.81",,"Posted"
"03/13/2026","CASI CIELO SANDY SPRIN 404-5499411 GA","-190.24",,"Posted"
"03/12/2026","YUMMY SPICY DORAVILLE GA","-57.16",,"Posted"
"03/12/2026","KROGER #655 ATLANTA GA","-50.80",,"Posted"
"03/12/2026","LAZ PARKING M08610-WC ATLANTA GA","-8.00",,"Posted"
"03/11/2026","SHELL OIL 57540177003 MOODY AL","-28.51",,"Posted"
"03/11/2026","IBERIAN PIG DECATUR 404-3718800 GA","-170.38",,"Posted"
"03/09/2026","COSTCO GAS #0352 CORDOVA TN","-28.73",,"Posted"
"03/04/2026","OPENAI OPENAI.COM CA","-5.49",,"Posted"
"03/03/2026","COSTCO GAS #0352 CORDOVA TN","-32.03",,"Posted"
"03/03/2026","WINE BEER LIQUOR OF GERM GERMANTOWN TN","-89.12",,"Posted"
"02/25/2026","ONLINE PAYMENT THANK YOU","1520.97",,"Posted"
"02/25/2026","Uniqlo USA LLC New York NY","-175.16",,"Posted"
"02/25/2026","KROGER #456 BARTLETT TN","-8.10",,"Posted"
"02/25/2026","LOccitane 188-8623288 NY","-31.58",,"Posted"
"02/25/2026","USPS PO 4728320529 ELLENDALE TN","-60.95",,"Posted"
"02/23/2026","LOccitane 188-8623288 NY","-37.03",,"Posted"
"02/22/2026","COSTCO WHSE #0352 CORDOVA TN","-37.30",,"Posted"
"02/22/2026","KROGER #456 BARTLETT TN","-21.45",,"Posted"
"02/20/2026","AUTOMATIC PAYMENT - THANK YOU","63.41",,"Posted"
"02/16/2026","TRU BY HILTON ATLANTA ATLANTA GA","-733.51",,"Posted"
"02/16/2026","BP#1993856CAPL GA0017 TUCKER GA","-26.08",,"Posted"
"02/15/2026","LAZ PARKING M08363-FLASH ATLANTA GA","-5.00",,"Posted"
"02/14/2026","H MART DORAVILLE INC DORAVILLE GA","-96.11",,"Posted"
"02/13/2026","IBERIAN PIG DECATUR 404-3718800 GA","-266.81",,"Posted"
"02/13/2026","UNIVPARK-10812DEKALBCOURTDECATUR GA","-6.00",,"Posted"
"02/13/2026","EMORY UNIVERSITY ATLANTA GA","-11.00",,"Posted"
"02/13/2026","ALSAC ST JUDE CHILDRENS 901-5782381 TN","-30.00",,"Posted"
"02/12/2026","COSTCO GAS #0352 CORDOVA TN","-18.57",,"Posted"
"02/12/2026","BUC-EE'S #0043 LEEDS AL","-17.54",,"Posted"
"02/08/2026","H&M 0621MEMPHIS MEMPHIS TN","-63.74",,"Posted"
"02/08/2026","TRADER JOE S #738 GERMANTOWN TN","-13.83",,"Posted"
"02/04/2026","THE UPS STORE 3090 901-3856620 TN","-40.00",,"Posted"
"02/03/2026","VIRTUALINSTRUCT THEVIRTUALINSNC","-97.00",,"Posted"
"01/23/2026","CHICK-FIL-A APP 866-232-2040 GA","-25.00",,"Posted"
"01/19/2026","COSTCO GAS #0352 CORDOVA TN","-23.46",,"Posted"
"01/19/2026","CORDOVA FARMERS MARKET CODOVA TN","-14.95",,"Posted"
"01/15/2026","ONLINE PAYMENT THANK YOU","1357.81",,"Posted"
"01/13/2026","ALSAC ST JUDE CHILDRENS 901-5782381 TN","-30.00",,"Posted"
"01/05/2026","KROGER #405 BERTLETT TN","-5.99",,"Posted"
"01/05/2026","THE UPS STORE 869 901-3858701 TN","-29.00",,"Posted"
"12/27/2025","CHICK-FIL-A APP 866-232-2040 GA","-25.00",,"Posted"
"12/21/2025","AUTOMATIC PAYMENT - THANK YOU","241.16",,"Posted"
"12/17/2025","COSTCO WHSE #0352 CORDOVA TN","-76.92",,"Posted"
